lon,lat,precipitation
-0.8678,5.47532,3.2614941596984863
-0.83515,5.42307,3.3357627391815186
-0.84545,5.41743,3.321427345275879
-0.85583,5.3386,3.400839328765869
-0.84097,5.35803,3.400839328765869
-0.84137,5.35737,3.400839328765869
-0.92893,5.30283,3.0830788612365723
-0.91887,5.28862,3.0830788612365723
-1.15412,5.19415,2.5972917079925537
-1.12047,5.23552,2.485653877258301
-1.16347,5.24038,2.8561840057373047
-1.11708,5.3781,3.184143304824829
-1.11237,5.41552,3.3078553676605225
-1.08057,5.34075,3.124282121658325
-1.0807,5.34068,3.124282121658325
-1.42488,5.41945,3.8246657848358154
-1.42518,5.41882,3.8246657848358154
-1.4477,5.51403,3.8262834548950195
-1.585,5.41857,4.00651216506958
-1.57443,5.42078,3.9180054664611816
-1.57417,5.42103,3.9180054664611816
-1.67625,5.7254,4.075823783874512
-1.69763,5.76913,4.060057640075684
-1.49588,5.64237,4.018485069274902
-1.44947,5.68877,4.016392707824707
-1.5313,5.74875,3.9441580772399902
-1.47358,5.6845,4.016392707824707
-1.47395,5.6846,4.016392707824707
-1.46303,5.68265,4.016392707824707
-1.6397,5.87857,3.9825150966644287
-1.65132,5.86775,3.9825150966644287
-1.65112,5.86715,3.9825150966644287
-1.78603,5.80573,4.011054515838623
-1.60885,5.92218,3.964556932449341
-1.74508,5.83347,3.937014579772949
-1.69783,5.84688,3.961817502975464
-1.7088,5.81977,4.034414291381836
-1.75728,5.79932,3.9791605472564697
-1.75762,5.79893,3.9791605472564697
-1.71458,5.90588,3.9413938522338867
-1.77418,5.94508,3.8517749309539795
-1.76402,5.94022,3.8517749309539795
-1.76408,5.9409,3.8517749309539795
-1.67927,5.86005,3.9825150966644287
-1.75222,5.9562,3.8517749309539795
-1.98813,6.01783,3.959282875061035
-1.98797,6.0172,3.959282875061035
-2.10813,4.99455,3.9643115997314453
-1.90813,4.99455,3.8528478145599365
-1.70813,4.99455,3.736860752105713
-2.10813,5.19455,3.1630942821502686
-1.90813,5.19455,3.986192464828491
-1.70813,5.19455,3.8386967182159424
-1.50813,5.19455,3.4830329418182373
-1.30813,5.19455,2.8912415504455566
-1.10813,5.19455,2.485653877258301
-0.90813,5.19455,2.673490047454834
-2.10813,5.39455,4.219385623931885
-1.90813,5.39455,4.154125213623047
-1.70813,5.39455,4.162703514099121
-1.50813,5.39455,3.871300220489502
-1.30813,5.39455,3.741115093231201
-1.10813,5.39455,3.3078553676605225
-0.90813,5.39455,3.278719425201416
-0.70813,5.39455,2.893263816833496
-0.50813,5.39455,2.5388715267181396
-2.10813,5.59455,3.901249647140503
-1.90813,5.59455,4.0608744621276855
-1.70813,5.59455,4.05870246887207
-1.50813,5.59455,3.933593511581421
-1.30813,5.59455,3.829665184020996
-1.10813,5.59455,3.6755142211914062
-0.90813,5.59455,3.456836223602295
-0.70813,5.59455,3.239755868911743
-0.50813,5.59455,2.864377021789551
-2.10813,5.79455,3.498591661453247
-1.90813,5.79455,3.887626886367798
-1.70813,5.79455,4.034414291381836
-1.50813,5.79455,3.952037811279297
-1.30813,5.79455,3.930424690246582
-1.10813,5.79455,3.8633620738983154
-0.90813,5.79455,3.854584217071533
-0.70813,5.79455,3.7751317024230957
-0.50813,5.79455,3.380941390991211
-2.10813,5.99455,3.9962315559387207
-1.90813,5.99455,3.9103307723999023
-1.70813,5.99455,3.9176061153411865
-1.50813,5.99455,3.9039969444274902
-1.30813,5.99455,3.9152884483337402
-1.10813,5.99455,3.90502667427063
-0.90813,5.99455,3.8949332237243652
-0.70813,5.99455,3.9373676776885986
-0.50813,5.99455,3.738403558731079
